,id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,verification_count,property_type_category,bathrooms_type,amenities_count
4441,34539036,2016-02-09,1,4,3,0,5,1,0,2,53.44664,-6.17892,37,2,2.0,3,1.0,1.0,1912,49.0,1.0,5.0,1.0,0.0,0.0,2019-05-27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1.0,0.0,1.0,0.0,0.02,2406.0,1,3,3,294
4442,34539122,2019-05-07,1,4,2,0,5,1,0,1,53.35415,-6.26545,16,0,8.0,2,1.0,2.0,4510,570.0,4.0,1125.0,9.0,0.0,0.0,2019-05-25,3.78,4.22,4.0,4.22,4.33,4.56,3.78,0,5.0,5.0,0.0,0.0,0.22,1223.0,1,0,3,484
4443,34552877,2019-03-27,4,2,3,0,1,1,1,1,53.34793,-6.2791,38,2,4.0,3,1.0,2.0,2742,346.0,1.0,1125.0,25.0,5.0,1.0,2019-06-23,4.2,4.68,4.28,4.68,4.8,4.6,4.2,0,3.0,0.0,2.0,0.0,0.64,1264.0,2,3,3,386
4444,34562403,2017-09-14,4,1,3,1,1,1,1,2,53.44379,-6.15441,48,1,4.0,0,2.0,4.0,1964,140.0,1.0,28.0,79.0,48.0,7.1321923032480665,2019-05-14,4.88,4.87,4.92,4.91,4.95,4.96,4.82,1,1.0,0.0,0.0,0.0,1.95,1823.0,2,1,0,306
4445,34564901,2016-10-01,1,4,3,0,1,1,0,1,53.3734,-6.20841,37,2,2.0,2,1.0,1.0,1669,60.0,1.0,1125.0,3.0,0.0,0.0,2019-05-10,4.5,5.0,4.0,5.0,4.5,5.0,4.5,0,1.0,0.0,1.0,0.0,0.07,2171.0,2,3,3,180
4446,34573082,2015-12-18,1,4,3,0,1,1,1,1,53.36667,-6.2403,13,0,8.0,5,4.0,4.0,4238,225.0,2.0,1125.0,1.0,0.0,0.0,2019-05-26,4.0,4.0,4.0,3.7392377616303087,4.0,3.6743084415529834,3.2891489892359975,1,1.0,1.0,0.0,0.0,0.02,2459.0,2,0,5,414
4447,34593663,2019-02-22,3,2,0,0,5,1,1,1,53.34967,-6.23212,40,2,1.0,4,1.0,1.0,1630,93.0,4.0,1125.0,3.0,0.0,0.0,2019-12-15,2.5,3.5672808323160057,3.055738338062441,4.5,4.0,5.0,4.0,0,1.0,0.0,1.0,0.0,0.09,1297.0,1,3,4,251
4448,34598110,2015-10-15,3,2,3,0,5,1,1,1,53.35895,-6.25472,16,0,2.0,2,1.0,1.0,902,120.0,14.0,122.0,27.0,8.0,2.0,2019-10-10,4.63,4.96,4.78,4.89,4.78,4.81,4.26,0,9.0,9.0,0.0,0.0,0.76,2523.0,1,0,3,218
4449,34599598,2018-10-22,4,2,3,1,1,1,0,1,53.34168,-6.29604,37,2,2.0,4,1.0,1.0,5911,44.0,1.0,4.0,128.0,45.0,5.0,2019-05-19,4.71,4.77,4.7,4.87,4.92,4.78,4.62,1,1.0,0.0,1.0,0.0,3.17,1420.0,2,3,4,402
4450,34602809,2018-09-11,1,4,3,0,1,1,1,1,53.36379,-6.25531,40,2,1.0,4,1.0,1.0,2871,70.0,5.0,1125.0,13.0,0.0,0.0,2019-08-15,4.69,4.77,5.0,5.0,4.92,4.85,4.62,0,1.0,0.0,1.0,0.0,0.35,1461.0,2,3,4,388
4451,34603177,2016-11-10,1,4,3,0,1,1,1,1,53.36788,-6.28301,28,2,2.0,3,1.0,1.0,4022,55.0,3.0,300.0,4.0,0.0,0.0,2019-06-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,3.0,1.0,2.0,0.0,0.1,2131.0,2,3,3,664
4452,34611795,2015-04-16,1,4,3,0,0,1,1,0,53.28683,-6.14221,9,0,4.0,7,2.0,2.0,2099,575.0,2.0,1125.0,0.0,0.0,0.0,,4.603238846835222,4.776713229252243,4.645670391061431,4.828653182042404,4.8437469186524025,4.732065449761524,4.614546800460579,1,1.0,1.0,0.0,0.0,1.3190062812046988,2705.0,3,0,7,308
4453,34615748,2017-01-24,3,1,0,0,1,1,1,1,53.36418,-6.24339,40,2,2.0,5,1.0,1.0,180,85.0,3.0,10.0,15.0,0.0,0.0,2019-09-19,4.93,4.93,5.0,4.86,5.0,4.86,4.93,0,1.0,0.0,1.0,0.0,0.41,2056.0,2,3,5,339
4454,34639287,2016-02-27,1,4,3,0,1,1,1,1,53.35247,-6.291,13,0,4.0,2,2.0,2.0,1926,200.0,2.0,1125.0,0.0,0.0,0.0,,4.603238846835222,4.776713229252243,4.645670391061431,4.828653182042404,4.8437469186524025,4.732065449761524,4.614546800460579,0,1.0,1.0,0.0,0.0,1.3190062812046988,2388.0,2,0,3,255
