id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,verification_count,property_type_category,bathrooms_type,amenities_count,review_mean
41609032,2019-07-29,1,4,3,0,0,1,1,1,53.35227,-6.29748,32,2,2.0,4,1.0,1.0,5353,60.0,2.0,1125.0,3.0,0.0,0.0,2020-02-16,5.0,5.0,3.67,5.0,5.0,4.67,4.67,1,1.0,0.0,1.0,0.0,0.1,1140.0,3,3,4,385,0.0682382284212947
41630041,2012-06-29,4,1,3,0,1,1,1,1,53.35847,-6.25464,40,2,6.0,4,1.0,3.0,1990,229.0,2.0,1125.0,2.0,1.0,0.0,2020-03-01,4.5,5.0,5.0,5.0,4.5,5.0,4.5,0,2.0,1.0,1.0,0.0,0.06,3726.0,2,3,4,235,0.0319865319865319
41636355,2020-01-17,1,4,3,0,5,1,1,1,53.34172,-6.30645,18,0,5.0,2,2.0,4.0,4643,232.0,2.0,100.0,2.0,0.0,0.0,2020-03-14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,2.0,1.0,1.0,0.0,0.07,968.0,1,0,3,502,0.3333333333333333
41659658,2020-01-18,4,1,3,0,1,1,1,1,53.337126891763376,-6.2919364135951925,31,2,2.0,3,1.0,1.0,5972,86.0,2.0,4.0,14.0,12.0,6.0,2021-05-20,5.0,5.0,4.71,5.0,5.0,4.79,4.86,0,1.0,0.0,1.0,0.0,0.87,967.0,2,3,3,887,0.0822495888262865
41677883,2019-03-14,4,1,3,0,1,1,0,0,53.26048,-6.20403,37,2,1.0,5,1.0,1.0,3633,45.0,3.0,7.0,4.0,1.0,1.0,2020-02-08,4.25,5.0,4.5,5.0,4.75,4.75,4.75,0,2.0,0.0,2.0,0.0,0.13,1277.0,2,3,5,644,0.1894409937888198
41683944,2016-11-19,4,1,3,1,1,1,1,2,53.42073,-6.39008,37,2,8.0,8,4.0,5.895590181708249,5355,283.0,1.0,35.0,16.0,15.0,2.0,2020-02-22,4.67,4.6,4.87,4.93,4.93,4.47,4.73,0,4.0,1.0,3.0,0.0,0.51,2122.0,2,3,8,528,0.1409568172854463
41713162,2017-04-22,1,4,3,0,1,1,1,1,53.34661,-6.27625,31,2,4.0,3,1.0,2.0,4568,90.0,2.0,1125.0,3.0,0.0,0.0,2020-02-29,4.67,5.0,3.67,5.0,5.0,5.0,5.0,1,2.0,1.0,1.0,0.0,0.1,1968.0,2,3,3,663,0.0598972922502334
41717943,2013-05-06,1,4,3,0,1,1,1,1,53.35602,-6.24053,10,0,3.0,2,2.0,2.0,4244,85.0,4.0,1125.0,5.0,0.0,0.0,2020-02-02,4.4,4.6,4.4,4.8,5.0,4.8,4.8,1,2.0,2.0,0.0,0.0,0.16,3415.0,2,0,3,390,0.2309090909090909
41733425,2016-08-29,1,4,3,0,1,1,0,1,53.33594,-6.27351,31,2,2.0,3,1.0,2.0,5073,45.0,1.0,1125.0,1.0,0.0,0.0,2020-02-02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2.0,0.0,2.0,0.0,0.03,2204.0,2,3,3,416,0.0527777777777777
41744892,2020-01-17,1,4,3,0,5,1,1,1,53.33948,-6.30482,44,2,5.0,4,2.0,5.0,4663,232.0,2.0,100.0,1.0,0.0,0.0,2020-06-14,5.0,5.0,4.0,5.0,5.0,5.0,4.0,0,2.0,1.0,1.0,0.0,0.04,968.0,1,3,4,511,0.05
41756417,2017-10-01,4,1,3,1,1,1,1,1,53.32872,-6.31785,37,2,1.0,4,1.0,1.0,3839,62.0,1.0,1125.0,28.0,28.0,6.0,2022-04-03,4.93,5.0,5.0,5.0,4.96,4.82,4.96,1,1.0,0.0,1.0,0.0,5.15,1806.0,2,3,4,653,0.0966785814113267
41781551,2017-09-11,1,4,3,0,1,1,1,1,53.35124,-6.27005,16,0,4.0,2,1.0,2.0,5272,80.0,1.0,30.0,31.0,0.0,0.0,2020-02-01,4.9,5.0,5.0,5.0,5.0,4.97,4.9,0,1.0,1.0,0.0,0.0,0.97,1826.0,2,0,3,360,0.1586420815471798
41813857,2015-03-16,1,4,3,0,1,1,1,1,53.32959,-6.22456,16,0,2.0,2,1.0,1.0,4878,90.0,1.0,14.0,22.0,0.0,0.0,2020-02-07,4.95,4.91,4.95,5.0,5.0,4.91,4.82,1,1.0,1.0,0.0,0.0,0.7,2736.0,2,0,3,528,0.1678535308916324
41850146,2019-03-18,4,1,1,1,5,1,1,1,53.34092,-6.31017,44,2,3.0,3,1.0,2.0,4482,90.0,1.0,1125.0,148.0,66.62614730882797,7.1321923032480665,2020-02-09,4.78,4.84,4.66,4.88,4.88,4.69,4.82,1,2.0,0.0,2.0,0.0,4.69,1273.0,1,3,3,753,0.0938257710112892
41875646,2014-01-20,4,3,1,1,1,1,1,1,53.35595,-6.27393,37,2,2.0,3,1.0,1.0,3354,90.0,1.0,5.0,139.0,66.62614730882797,7.1321923032480665,2020-02-09,4.96,4.95,4.98,4.96,4.95,4.88,4.91,1,2.0,0.0,2.0,0.0,4.4,3156.0,2,3,3,725,0.0984194985755131
41885338,2016-10-16,3,1,1,0,1,1,1,1,53.40345,-6.16322,9,0,2.0,2,1.0,1.0,5085,160.0,3.0,1125.0,5.0,0.0,0.0,2020-02-09,5.0,4.8,4.6,5.0,5.0,4.8,4.8,0,1.0,1.0,0.0,0.0,0.16,2156.0,2,0,3,418,0.1472222222222222
41926552,2019-03-21,4,1,2,0,1,1,1,1,53.38822,-6.2774,37,2,1.0,2,1.0,1.8325749464668093,4752,42.0,3.0,1125.0,4.0,4.0,0.0,2022-04-17,5.0,4.75,4.75,5.0,5.0,4.75,4.75,0,4.0,0.0,4.0,0.0,0.81,1270.0,2,3,3,631,0.0680059523809523
41976687,2019-11-12,1,4,3,0,1,1,1,2,53.44938,-6.23817,37,2,1.0,6,1.0,1.0,1593,25.0,1.0,7.0,2.0,0.0,0.0,2020-02-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,4.0,0.0,4.0,0.0,0.06,1034.0,2,3,6,242,0.1384615384615384
41983802,2019-11-12,1,4,3,0,1,1,1,2,53.44941,-6.23849,37,2,6.0,10,3.0,4.0,170,100.0,2.0,14.0,1.0,0.0,0.0,2020-02-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,4.0,0.0,4.0,0.0,0.03,1034.0,2,3,10,260,0.0666666666666666
41989925,2017-09-29,1,4,3,0,1,1,0,1,53.38516,-6.20899,37,2,2.0,3,1.0,1.0,3912,170.0,3.0,4.0,2.0,2.0,1.0,2022-06-13,5.0,5.0,5.0,5.0,5.0,4.5,4.5,0,1.0,0.0,1.0,0.0,0.65,1808.0,2,3,3,243,0.0452294685990338
42014543,2015-11-21,3,2,2,0,1,1,1,1,53.331833,-6.270137,13,0,6.0,7,2.0,3.0,6133,300.0,3.0,1125.0,34.0,24.0,4.0,2020-02-09,4.97,4.91,4.94,5.0,4.85,4.91,4.79,0,1.0,1.0,0.0,0.0,1.08,2486.0,2,0,7,813,0.0532765896006581
42032477,2014-09-19,1,4,3,0,1,1,1,2,53.4925569505988,-6.1131,44,2,2.0,4,1.0,1.0,394,46.0,1.0,1125.0,6.0,0.0,0.0,2020-03-08,5.0,4.83,5.0,5.0,4.83,4.83,5.0,0,1.0,0.0,1.0,0.0,0.2,2914.0,2,3,4,309,0.0696699134199134
42032544,2014-10-16,4,1,3,1,1,1,1,1,53.34324,-6.24295,16,0,4.0,2,2.0,3.0,4721,167.0,2.0,1125.0,103.0,66.62614730882797,7.0,2020-02-16,4.79,4.85,4.77,4.88,4.88,4.87,4.48,0,1.0,1.0,0.0,0.0,3.29,2887.0,2,0,3,648,0.1115961946692949
42043110,2016-09-06,4,1,3,1,1,1,1,2,53.408,-6.29221,37,2,2.0,6,1.0,1.0,1512,117.0,1.0,5.0,45.0,43.0,5.0,2020-02-04,5.0,4.91,5.0,4.98,5.0,4.64,4.89,0,2.0,0.0,2.0,0.0,1.42,2196.0,2,3,6,208,0.0868554633802963
42050497,2017-08-12,1,4,0,0,0,1,1,2,53.40926,-6.17387,37,2,2.0,4,1.0,2.0,539,48.0,1.0,1125.0,1.0,0.0,0.0,2020-02-26,2.288915265867955,4.776713229252243,4.645670391061431,4.828653182042404,4.8437469186524025,4.732065449761524,4.614546800460579,1,1.0,0.0,1.0,0.0,0.03,1856.0,3,3,4,189,0.1
42062305,2015-09-02,4,1,3,1,1,1,1,0,53.26015,-6.20185,36,2,1.0,10,1.0,1.0,5199,55.0,50.0,180.0,10.0,6.0,1.0,2020-10-01,4.7,4.8,4.9,5.0,4.8,5.0,4.7,1,10.0,0.0,10.0,0.0,0.42,2566.0,2,3,10,768,0.1936364784640646
